"id","label","relatedto","relatedtohow","source","sourcetype","spatialtype","methodtype","georeferencingby","georeferencingdesc","certainty","literature","wkt"
31,"Scarafea",,,"fsl:PaperDesc","fsl:Paper","fsl:UnknownCategory","fsl:Georeferencing","https://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps","fsl:medium","Civetta et al., 1997","POINT(14.156011 40.934624)"
32,"Serino",,,"fsl:PaperDesc","fsl:Paper","fsl:UnknownCategory","fsl:Georeferencing","https://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps","fsl:medium","Fedele et al., 2008;Giaccio et al., 2008;Lowe et al., 2012","POINT(14.789093 40.857795)"
33,"Starza",,,"fsl:PaperDesc","fsl:Paper","fsl:UnknownCategory","fsl:Georeferencing","https://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps","fsl:medium","Rosi et al., 1999","POINT(14.696512 40.956596)"
34,"Torregaveta",,,"fsl:PaperDesc","fsl:Paper","fsl:UnknownCategory","fsl:Georeferencing","https://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps","fsl:medium","Pappalardo et al., 1999","POINT(14.011626 40.800740)"
35,"Trefola",,,"fsl:PaperDesc","fsl:Paper","fsl:UnknownCategory","fsl:Georeferencing","https://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps","fsl:medium","Pappalardo et al., 1999","POINT(14.142672 40.895245)"
36,"Tufara",,,"fsl:PaperDesc","fsl:Paper","fsl:UnknownCategory","fsl:Georeferencing","https://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps","fsl:medium","Rosi et al., 1999","POINT(14.679477 41.054918)"
37,"Tufarella",,,"fsl:PaperDesc","fsl:Paper","fsl:UnknownCategory","fsl:Georeferencing","https://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps","fsl:medium","Rosi et al., 1999","POINT(14.790612 40.761691)"
38,"Vico Equense",,,"fsl:PaperDesc","fsl:Paper","fsl:UnknownCategory","fsl:Georeferencing","https://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps","fsl:medium","Rosi et al., 1999","POINT(14.427303 40.662246)"
39,"Villa di Briano (Naples)",,,"fsl:PaperDesc","fsl:Paper","fsl:UnknownCategory","fsl:Georeferencing","https://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps","fsl:medium","Civetta et al., 1997","POINT(14.149332 41.001874)"
40,"Voscone",,,"fsl:PaperDesc","fsl:Paper","fsl:UnknownCategory","fsl:Georeferencing","https://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps","fsl:medium","Rosi et al., 1999","POINT(14.519395 40.800514)"
41,"Lake Ohrid (Albania)","http://wikidata.org/entity/Q156258","skos:closeMatch","fsl:PaperDesc","fsl:Paper","fsl:Lake","fsl:Georeferencing","https://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps","fsl:medium","Leicher et al., 2019, 2016","POINT(20.431837 41.037140)"
42,"Kozarnika Cave (Bulgaria)","http://wikidata.org/entity/Q2037533","skos:closeMatch","fsl:PaperDesc","fsl:Paper","fsl:Cave","fsl:Georeferencing","https://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps","fsl:medium","Lowe et al., 2012","POINT(22.632873 43.654874)"
43,"Temnata Cave (Bulgaria)","https://sws.geonames.org/726486","skos:closeMatch","fsl:PaperDesc","fsl:Paper","fsl:Cave","fsl:Georeferencing","https://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps","fsl:medium","Fedele et al., 2008, 2003;Fitzsimmons et al., 2013;Giaccio et al., 2008","POINT(23.922981 43.146398)"
44,"Toplitsa Cave (Bulgaria)","http://wikidata.org/entity/Q61788595","fsl:dubiousMatch","fsl:PaperDesc","fsl:Paper","fsl:Cave","fsl:Georeferencing","https://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps","fsl:medium","Tsanova et al., 2021","POINT(22.969070 43.025771)"
45,"Franchthi Cave (Greece)","http://wikidata.org/entity/Q1441331","skos:closeMatch","fsl:PaperDesc","fsl:Paper","fsl:Cave","fsl:Georeferencing","https://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps","fsl:medium","Fedele et al., 2003","POINT(21.812507 37.416509)"
46,"Klissoura (Greece)","http://wikidata.org/entity/Q21468911","fsl:spatialCloseMatch","fsl:PaperDesc","fsl:Paper","fsl:UnknownCategory","fsl:Georeferencing","https://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps","fsl:medium","Lowe et al., 2012","POINT(21.467224 40.536072)"
47,"Tenaghi Philippon (Greece)","https://sws.geonames.org/736250","fsl:dubiousMatch","fsl:PaperDesc","fsl:Paper","fsl:UnknownCategory","fsl:Georeferencing","https://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps","fsl:medium","Lowe et al., 2012;Wulf et al., 2018","POINT(24.330363 41.024391)"
48,"Susak Island (Greece)","https://sws.geonames.org/3189468","skos:closeMatch","fsl:PaperDesc","fsl:Paper","fsl:Island","fsl:Georeferencing","https://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps","fsl:medium","Wacha, 2011","POINT(14.292151 44.510487)"
49,"Lake Ohrid (Macedonia)","http://wikidata.org/entity/Q156258","skos:closeMatch","fsl:PaperDesc","fsl:Paper","fsl:Lake","fsl:Georeferencing","https://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps","fsl:medium","Leicher et al., 2019, 2016","POINT(20.578824 41.037411)"
50,"Golema Pesht Cave near Zdunje (Macedonia)","http://wikidata.org/entity/Q20565511","fsl:spatialCloseMatch","fsl:PaperDesc","fsl:Paper","fsl:Cave","fsl:Georeferencing","https://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps","fsl:medium","Lowe et al., 2012","POINT(21.1617392 41.8117124)"
51,"Crvena Stiljena (Montenegro)","https://www.openstreetmap.org/node/10879170567","skos:closeMatch","fsl:PaperDesc","fsl:Paper","fsl:ArchaeologicalSite","fsl:Georeferencing","https://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps","fsl:medium","Morley & Woodward, 2011","POINT(18.4814542 42.7789851) "
52,"Urluia (Romania)","https://sws.geonames.org/664132","skos:closeMatch","fsl:PaperDesc","fsl:Paper","fsl:UnknownCategory","fsl:Georeferencing","https://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps","fsl:medium","Fitzsimmons et al., 2014, 2013;Obreht et al., 2017;Pötter et al., 2021","POINT(27.902121 44.094695)"
